"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000271156",2.58042544862625,3.33539644171565,0.517790457586846,1.41916027274976e-09,7.60362467217957e-09
"ENSG00000271199",4.56572348170503,1.18979772817346,0.259486295794715,1.32789517058605e-05,3.87594270023537e-05
"ENSG00000271204",5.12057485139079,3.33801282612554,0.399006174836326,6.82774447898516e-05,0.000175529277469592
"ENSG00000271320",6.33460307476572,1.16139747849981,0.200961891565305,3.85757228197273e-09,1.93752950517941e-08
"ENSG00000271334",6.41860303662263,-1.73927704388664,0.206591768638046,1.42753615384956e-17,2.02783340828886e-16
"ENSG00000271390",2.71275893692414,-1.29616985729948,0.196314589317543,1.69166490764273e-11,1.13460333999282e-10
"ENSG00000271395",2.27548349718199,5.05595216392625,1.53893514858604,0.00258327683730383,0.00504631652985304
"ENSG00000271555",4.94395696151901,1.05652112920112,0.190040816114316,1.87954356818505e-08,8.5001398920369e-08
"ENSG00000271576",17.8924548522734,1.51247243397869,0.205475810603592,4.63065975296295e-14,4.34420732541386e-13
"ENSG00000271590",7.62997016950659,1.11690002911346,0.223038547617458,2.75349496810263e-07,1.04625254617892e-06
"ENSG00000271614",71.2974498035008,-1.10487901645318,0.119667030354635,1.6759189348942e-20,3.49044770650898e-19
"ENSG00000271709",5.7678437278163,1.19546503276113,0.281967669030875,9.14217856158525e-05,0.000229694645039375
"ENSG00000271736",46.743678109078,-1.39540132579351,0.293924204791382,1.11045669241938e-06,3.85700945203972e-06
"ENSG00000271771",2.35166479526099,2.95070924419365,0.552715816572761,1.05565027216648e-06,3.68745429243526e-06
"ENSG00000271788",15.6822343478353,1.83248587637399,0.206716681601277,1.91416037282603e-19,3.54663828276127e-18
"ENSG00000271815",6.16516881122236,-1.41927839130157,0.16584657726322,4.8835636502596e-18,7.49444393973356e-17
"ENSG00000271830",6.59735610097247,5.24164402452861,0.739523638297156,2.02086920716805e-14,1.9745353452753e-13
"ENSG00000271850",3.5049730389356,2.88746934288272,0.422914678396599,4.54258783223263e-12,3.33323663451242e-11
"ENSG00000271855",9.16406795857687,1.02239994931766,0.161043818114673,9.12745098472403e-11,5.69437820443368e-10
"ENSG00000271860",3.83150938023293,2.89491042118577,0.460150992489165,1.76041087526761e-11,1.17785945036022e-10
"ENSG00000271880",2.81013693254113,-1.65252021393472,0.235891314134308,1.14876520242155e-12,9.14390692732098e-12
"ENSG00000271888",17.7119393489448,1.73226379923456,0.182465754483403,4.7244335032492e-22,1.15811334548675e-20
"ENSG00000271897",1.08757623118078,-1.51918985657686,0.296179413381276,1.3528328006398e-07,5.4035282736442e-07
"ENSG00000271930",10.245775094939,3.03545916750407,0.313897954635634,4.8609957369213e-23,1.35326212977608e-21
