"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000259306",17.3237004863354,7.46358496249714,0.632147429978926,1.2308762116048e-66,1.81033485891414e-64
"ENSG00000259341",176.988574701197,3.43875225111273,0.270317333724861,6.90847099294529e-39,2.4461104700947e-37
"ENSG00000259345",148.061356312352,3.28113077172519,0.181234382858832,5.33275445017715e-75,1.39039452391891e-72
"ENSG00000259359",1.56801091901868,-1.64908945433353,0.315413038460316,9.09661167713729e-08,2.77839002023746e-07
"ENSG00000259362",6.6918404650179,1.21995499681713,0.332768266722159,0.000226156679919325,0.000454691453213196
"ENSG00000259380",2.9812896409848,2.56940790207354,0.405734034252788,1.51736924950059e-11,6.99648715043039e-11
"ENSG00000259396",0.908142937640381,2.30370578129465,0.51246796202538,2.36948482244003e-07,6.92377225752217e-07
"ENSG00000259423",0.594471100563355,2.45828114035095,0.771398493705278,0.00132876407866119,0.00241119606301822
"ENSG00000259434",1.20741253394825,2.98508080998369,0.882761509221201,0.00338913023721269,0.00581515137321329
"ENSG00000259438",9.39366916241167,1.8073205282756,0.210113216490094,1.69762720373054e-18,1.50503703873236e-17
"ENSG00000259439",46.6546335424148,7.23522211694349,0.547138930253552,5.19235889993643e-42,2.08275319231016e-40
"ENSG00000259447",1.73333892526208,3.41137689569295,0.531262580081144,7.41151471368213e-12,3.53975423794177e-11
"ENSG00000259469",1.59279263384458,1.31196966466693,0.281525570235617,1.62186931705168e-06,4.302979834694e-06
"ENSG00000259471",13.6779930471541,-1.02547107906127,0.344707354009557,0.00191355780261197,0.00339399120463273
"ENSG00000259483",1.62488128839176,-1.03376997521005,0.202420975409889,2.01045118238606e-07,5.94430308359094e-07
"ENSG00000259485",99.6268566059605,6.15915256698011,0.38994195852851,2.53379054016522e-59,2.74223066762032e-57
"ENSG00000259504",5.09114875962199,-2.44223167491965,0.305839773299581,6.22469280222867e-16,4.3971475263034e-15
"ENSG00000259508",2.46787345947901,-1.26148316078791,0.350643880064048,0.000173767098457828,0.000355086596634877
"ENSG00000259518",8.70257981746045,3.05393641910357,0.354875396353509,4.33218607155168e-19,4.04713669485675e-18
"ENSG00000259527",1.51417222671761,3.25387936561502,0.693953065037204,5.08384740567408e-06,1.26731632850702e-05
"ENSG00000259543",1.08528090151412,2.67295447621191,0.544411299028615,2.04442021002138e-06,5.36449877615857e-06
"ENSG00000259561",1.27674777705164,-1.11829692773863,0.273548381341446,2.58062843429549e-05,5.90917552859039e-05
"ENSG00000259572",3.65638364749761,3.74714347137526,0.686241050816632,4.8541103822885e-10,1.92154431696389e-09
"ENSG00000259594",11.0491686068138,3.24011895811429,0.276762648189295,2.90502448558056e-32,6.82918870872545e-31
"ENSG00000259611",1.4193731788731,3.03197349543795,0.720230703927664,1.74095983740286e-06,4.59767294076556e-06
"ENSG00000259636",0.458062665356427,-2.0606950453312,0.64546604651283,0.0013806012008597,0.002500514205283
"ENSG00000259639",0.93294199303623,5.39731771956988,1.22643322957536,0.00393771614651726,0.00669236735301422
"ENSG00000259647",4.68798527706669,-1.53860900715963,0.181684395772467,1.07527638226237e-17,9.01723001265638e-17
"ENSG00000259664",5.7375078934795,2.71844416926703,0.371534207018491,2.183693948882e-14,1.34107799687229e-13
"ENSG00000259672",44.4467662872206,6.2628250899515,0.614857617426417,1.93381766611835e-26,3.09842964604884e-25
"ENSG00000259685",2.3572899685942,2.38476297718125,0.380438837131937,2.6545052265409e-06,6.86794856988661e-06
"ENSG00000259692",102.087528827612,3.15058445047889,0.220220300583698,5.67064458715018e-48,3.01174234739754e-46
"ENSG00000259701",2.52496415059262,6.13450147578184,0.968745050589618,1.9805796312951e-28,3.5725172217323e-27
"ENSG00000259704",40.5364825565356,1.37278748218687,0.199756301507862,1.49091195927063e-12,7.61520124521489e-12
"ENSG00000259724",0.782755576499249,2.46732441735122,0.81514523594535,0.0039536357952098,0.00671544415792817
"ENSG00000259725",2.35061761951576,-1.90200224780444,0.327194078271221,2.69698245445045e-09,9.91024430411774e-09
"ENSG00000259727",4.38032488886129,3.93583760726246,0.423679278322789,9.57977470561189e-19,8.63987228166506e-18
"ENSG00000259737",2.87772276856508,4.61514035302545,0.908851175470698,9.50614935065408e-07,2.58545626720492e-06
"ENSG00000259754",4.52915265293336,-1.35305890428018,0.369759816686839,2.02310973783685e-06,5.31101027745179e-06
"ENSG00000259759",2.25032847181167,3.03216616832923,0.507310613839141,7.8624203603465e-12,3.7395392360653e-11
"ENSG00000259761",1.9093844479202,-1.38524178900566,0.328395072212649,1.35642797952271e-05,3.20844160434733e-05
"ENSG00000259763",1.53574128202969,-1.21496704299083,0.264799683631576,2.89986272067674e-06,7.48924473921737e-06
"ENSG00000259786",27.282271856539,5.0069203085274,0.449567584749849,5.93580502859517e-36,1.78260615937288e-34
"ENSG00000259791",0.717232677191375,3.92853133525027,1.0950129150273,0.00021076364318912,0.000425084478668351
"ENSG00000259807",38.3699180555818,1.23404674479855,0.200029917052453,2.22052341047577e-10,9.09780163034928e-10
"ENSG00000259828",5.8146091007357,1.75292297739318,0.324771687401543,9.18626479589707e-09,3.16470960175769e-08
"ENSG00000259831",4.16384640085098,1.19884598590074,0.271917105028827,0.000177762350243108,0.000362788771740276
"ENSG00000259834",327.910911323509,-1.84046842291077,0.223461238502063,8.25596244209409e-17,6.35653698897338e-16
"ENSG00000259847",11.4279936913761,-1.94720974445908,0.249315276430033,2.40697345947736e-15,1.61101514160585e-14
"ENSG00000259863",46.8377822942984,-1.0412628070844,0.162410026763628,9.50036820236622e-11,4.03062958644768e-10
"ENSG00000259868",36.1478322239891,4.04534343913718,0.365100689633386,2.88689497487065e-30,5.97806121872132e-29
"ENSG00000259871",2.63176661954852,-2.16683559021584,0.32663309046085,1.36837968818065e-11,6.33496843535451e-11
"ENSG00000259884",23.0046696951141,-1.31044217387888,0.25374350442887,1.38543186043262e-07,4.16282721395574e-07
"ENSG00000259889",4.10654189970931,6.31980796575007,1.19925522720951,3.48635530908577e-06,8.91164619113903e-06
"ENSG00000259921",10.865093316993,1.24481633262686,0.185979631659545,7.65718818003878e-12,3.64553149715414e-11
"ENSG00000259925",22.6891020187699,-2.23874346779804,0.327428894900108,3.54506953063925e-12,1.74096907771804e-11
"ENSG00000259928",1.20703342398295,2.07658846060127,0.504878442897736,1.29899197566233e-06,3.48341186180417e-06
"ENSG00000259933",10.5380289673228,1.09246609234443,0.196942829206682,1.4894129142491e-08,4.99898916099055e-08
"ENSG00000259937",1.07876697612404,2.36801118105439,0.678128326100111,0.000459894850554133,0.000888200963898487
"ENSG00000259946",1.44607534134337,4.07860841693877,0.91413629343501,3.96304617855266e-06,1.00362176071426e-05
"ENSG00000259974",355.300700181596,-2.41752094231447,0.377223605259619,6.48599271639593e-11,2.79306713372726e-10
"ENSG00000259977",2.79873124764724,6.10868896383074,1.11236479937995,1.20361382642623e-11,5.60839066480978e-11
"ENSG00000260003",1.01310740945378,3.12670662001082,1.06687770557424,0.00234452862902301,0.00410507210502929
"ENSG00000260011",4.15371078532303,1.04737242926881,0.250566404145773,1.57813846139865e-05,3.70384705997654e-05
"ENSG00000260019",18.0404111941032,6.10182230501106,0.601497950446588,1.46747299861081e-27,2.51266421493481e-26
"ENSG00000260052",4.50007966090903,1.08108837180132,0.220443591286242,4.24794604292202e-07,1.20445963925856e-06
"ENSG00000260057",7.25091876591232,-2.03757889197087,0.489514269006287,1.37941606762903e-05,3.26012796206021e-05
"ENSG00000260066",8.49902153301578,4.81955659110212,0.559830878236445,1.384084752546e-21,1.58465272267542e-20
"ENSG00000260071",3.02581421653277,-1.61322077698661,0.432431965259727,8.83584216357788e-05,0.000188198500749763
"ENSG00000260073",5.57465721963133,8.59629913707285,1.60677222347363,1.04710828033628e-08,3.58794091756805e-08
"ENSG00000260088",14.2980361408223,1.4693703440626,0.231809016335987,4.67305632893698e-11,2.04148142443127e-10
"ENSG00000260100",1.32513127821416,2.08526271517345,0.410793664825372,1.16919882384633e-08,3.97541461386044e-08
"ENSG00000260102",1.40427349525767,-2.82322924182751,0.584196108729699,6.63058829790501e-07,1.83115332098138e-06
"ENSG00000260118",20.9734892985481,-1.03800280436825,0.163832667427984,1.60388263838117e-10,6.66657305344521e-10
"ENSG00000260126",1.56739751527364,3.54348599995822,1.01791416336838,6.07155609597588e-05,0.000133128615315434
"ENSG00000260135",62.2962022468766,-1.09092946883007,0.245997299992529,6.0194155133204e-06,1.48760738407608e-05
"ENSG00000260142",0.552682746602758,6.23395933264026,2.46872159923426,0.00179368137093092,0.00319222970637907
"ENSG00000260166",0.635394078705002,-1.98388188324511,0.425796003477153,2.19280857764606e-06,5.72505689639408e-06
"ENSG00000260177",1.92128903609028,2.20886886893654,0.390215570400288,4.79647613494624e-08,1.5116806104424e-07
"ENSG00000260182",10.6706141862751,-1.63287433074004,0.307256488616969,5.22290122873418e-08,1.6370798605475e-07
"ENSG00000260186",20.9179743578078,3.37757399739796,0.32783818902876,6.72654202403752e-25,9.96988244182926e-24
"ENSG00000260192",2.93496862482196,1.94117529014325,0.421596327615927,0.00037228482330508,0.000728565590746483
"ENSG00000260193",41.3704088180499,1.02335492882124,0.166982097758276,4.22491871776411e-10,1.68526660397044e-09
"ENSG00000260209",3.24837960526258,2.42805420993325,0.364462365845067,2.92964935088396e-12,1.45367376095764e-11
"ENSG00000260237",0.963771230091429,7.25590733889796,2.52769222519268,2.41533040480911e-07,7.04696602339017e-07
"ENSG00000260254",0.751317422430456,5.33625292427029,1.18594834966825,0.00143133103724072,0.00258667764007963
"ENSG00000260259",22.699191346249,-1.22784650133563,0.157872751702986,4.36673899478052e-15,2.87573075477165e-14
"ENSG00000260261",189.947912362131,2.48183174744131,0.173758625346308,2.3747211192806e-47,1.22715318380122e-45
"ENSG00000260265",326.15259496288,3.32820701050142,0.21551137404639,1.55520529120074e-55,1.23898021532325e-53
"ENSG00000260288",7.94429287571841,1.84458449950998,0.201664409056837,1.58198247104542e-20,1.67113286444135e-19
"ENSG00000260289",37.3892072278478,5.06968445161049,0.462557069611158,4.18785357913526e-30,8.5791171892571e-29
"ENSG00000260293",62.2648661129156,1.33563828641921,0.202689022802415,1.33988428441136e-11,6.2130770051605e-11
"ENSG00000260302",39.7891077114638,1.31816745513419,0.284664083327363,1.01404226360392e-06,2.75144107097071e-06
"ENSG00000260310",9.23998211214457,-2.07761598604697,0.257145893330521,3.07617016241539e-16,2.256382615296e-15
"ENSG00000260337",13.2529439885965,-1.56572294886678,0.283686855599548,1.73817966455261e-08,5.78317781663213e-08
"ENSG00000260377",31.8906814686199,6.82565994270599,0.507512837645973,2.50219291644424e-48,1.3669122446404e-46
"ENSG00000260398",23.8771656030436,-1.82003480086543,0.219444531552163,5.11497497537325e-17,4.01361100666771e-16
